feature,importance,signed_coefficient,importance_type,model
text__network,0.0,,tree impurity importance,XGBoost
text__netflix,0.0,,tree impurity importance,XGBoost
text__negative,0.0,,tree impurity importance,XGBoost
text__needs,0.0,,tree impurity importance,XGBoost
text__needed,0.0,,tree impurity importance,XGBoost
text__mainstream,0.0,,tree impurity importance,XGBoost
text__major,0.0,,tree impurity importance,XGBoost
text__need know,0.0,,tree impurity importance,XGBoost
text__nearly,0.0,,tree impurity importance,XGBoost
text__near,0.0,,tree impurity importance,XGBoost
text__nazi,0.0,,tree impurity importance,XGBoost
text__nature,0.0,,tree impurity importance,XGBoost
